student_id,student_name,email_id,password,std,math_grade,english_grade,science_grade,history_grade,overall_grade,assignment_completion,engagement_score,math_lec_present,science_lec_present,history_lec_present,english_lec_present,attendance_ratio,login_frequency_per_week,average_session_duration_minutes,learning_style,content_type_preference,completed_lessons,practice_tests_taken,lms_test_scores,teacher_comments_summary,risk_score,is_at_risk,suggestions_required
S1000,Danielle Johnson,danielle.johnson419@gmail.com,p1000,10,78,60,52,95,71.25,0.93,0.64,6,2,9,11,0.35,4,58,Auditory,Interactive,2,0,61,Average progress,54.68,0,No
S1001,Joshua Walker,joshua.walker4022@outlook.com,p1001,11,91,67,88,96,85.5,0.67,0.57,8,9,9,1,0.34,5,75,Visual,Videos,3,3,34,Needs improvement in basics,71.74,1,Yes
S1002,Jill Rhodes,jill.rhodes2296@yahoo.com,p1002,10,68,79,62,62,67.75,0.75,0.79,3,8,6,15,0.4,5,40,Visual,Texts,13,3,72,Average progress,45.22,0,No
S1003,Patricia Miller,patricia.miller8945@gmail.com,p1003,12,54,93,48,95,72.5,0.48,0.87,5,5,10,16,0.45,6,12,Kinesthetic,Videos,19,7,41,Falling behind in multiple areas,57.55,0,No
S1004,Robert Johnson,robert.johnson9684@gmail.com,p1004,10,82,93,56,91,80.5,0.4,0.68,7,13,18,10,0.6,6,87,Reading/Writing,Texts,5,5,60,Good participation,36.35,0,No
S1005,Jeffery Wagner,jeffery.wagner530@edu.in,p1005,9,47,40,41,87,53.75,0.55,0.32,1,2,11,10,0.3,6,14,Reading/Writing,Mixed,3,6,51,Lacks focus,55.78,0,No
S1006,Anthony Gonzalez,anthony.gonzalez1545@gmail.com,p1006,10,60,75,58,59,63,0.82,0.73,4,10,15,3,0.4,2,37,Auditory,Texts,11,9,88,Good participation,25.15,0,No
S1007,Debra Gardner,debra.gardner3821@yahoo.com,p1007,10,78,60,58,84,70,0.46,0.34,16,6,7,11,0.5,5,23,Auditory,Mixed,1,6,81,Falling behind in multiple areas,77.2,1,Yes
S1008,Jeffrey Lawrence,jeffrey.lawrence9205@gmail.com,p1008,12,97,99,95,41,83,0.95,0.73,14,7,14,11,0.57,5,22,Reading/Writing,Videos,17,6,76,Shows initiative,15.13,0,No
S1009,Lisa Smith,lisa.smith8938@yahoo.com,p1009,10,58,82,46,63,62.25,0.53,0.78,1,3,8,16,0.35,2,55,Kinesthetic,Mixed,13,9,78,Can do better with more effort,30.67,0,No
S1010,Linda Wolfe,linda.wolfe3621@edu.in,p1010,12,62,74,93,70,74.75,0.52,0.44,4,14,19,6,0.54,5,27,Kinesthetic,Videos,7,1,85,Needs improvement in basics,73.11,1,Yes
S1011,Matthew Moore,matthew.moore9664@edu.in,p1011,12,50,52,81,66,62.25,0.51,0.87,10,16,15,9,0.62,1,5,Kinesthetic,Videos,7,5,60,Good participation,33.5,0,No
S1012,Susan Rogers,susan.rogers116@outlook.com,p1012,12,50,96,81,41,67,0.41,0.94,11,6,19,1,0.46,1,63,Auditory,Interactive,11,7,88,Average progress,42.96,0,No
S1013,Christopher Davis,christopher.davis6934@yahoo.com,p1013,9,63,88,98,96,86.25,0.86,0.87,7,8,18,6,0.49,2,7,Kinesthetic,Mixed,0,7,99,Excellent progress,18.96,0,No
S1014,Melanie Munoz,melanie.munoz4562@outlook.com,p1014,10,92,93,59,53,74.25,0.93,0.51,4,1,17,18,0.5,6,14,Reading/Writing,Videos,0,3,72,Can do better with more effort,36.67,0,No
S1015,Lindsay Blair,lindsay.blair3537@yahoo.com,p1015,9,75,93,48,43,64.75,0.77,0.71,1,20,3,13,0.46,2,75,Kinesthetic,Interactive,3,6,34,Lacks focus,37.59,0,No
S1016,Amanda Dudley,amanda.dudley1684@outlook.com,p1016,12,79,49,56,88,68,0.51,0.94,1,15,3,2,0.26,1,53,Visual,Videos,16,8,33,Needs improvement in basics,60.66,1,Yes
S1017,Nicholas Arnold,nicholas.arnold6234@gmail.com,p1017,10,63,92,66,52,68.25,0.57,0.52,17,17,7,19,0.75,4,60,Auditory,Mixed,9,7,44,Falling behind in multiple areas,65.97,1,Yes
S1018,Maria Montgomery,maria.montgomery5891@gmail.com,p1018,12,42,83,86,75,71.5,0.69,0.87,10,18,10,2,0.5,5,20,Visual,Texts,0,1,31,Falling behind in multiple areas,69.4,1,Yes
S1019,Michelle Ray,michelle.ray9901@outlook.com,p1019,10,61,86,41,74,65.5,0.97,0.31,5,3,17,4,0.36,3,43,Auditory,Interactive,10,7,78,Needs improvement in basics,65.96,1,Yes
S1020,Janet Williams,janet.williams721@outlook.com,p1020,10,92,92,75,83,85.5,0.55,0.3,7,6,15,4,0.4,3,80,Reading/Writing,Videos,16,2,85,Needs improvement in basics,69.35,1,Yes
S1021,Jeremy Roberts,jeremy.roberts8795@edu.in,p1021,10,41,49,58,93,60.25,0.84,0.83,8,17,8,10,0.54,2,48,Reading/Writing,Texts,9,3,37,Falling behind in multiple areas,63.11,1,Yes
S1022,Christopher Hall,christopher.hall6211@gmail.com,p1022,11,63,85,56,94,74.5,0.66,0.83,2,13,17,17,0.61,3,12,Visual,Mixed,5,2,45,Lacks focus,33.51,0,No
S1023,Craig Ramirez,craig.ramirez9054@gmail.com,p1023,11,83,52,44,47,56.5,0.58,0.85,9,17,3,16,0.56,4,12,Auditory,Interactive,3,7,93,Good participation,31.96,0,No
S1024,Cynthia Diaz,cynthia.diaz5935@outlook.com,p1024,11,69,76,78,41,66,0.67,0.95,4,16,4,8,0.4,3,49,Kinesthetic,Texts,12,3,53,Good participation,30.75,0,No
S1025,Mitchell Clark,mitchell.clark1149@yahoo.com,p1025,10,77,77,57,45,64,0.44,0.38,12,17,8,6,0.54,1,15,Auditory,Texts,10,0,84,Lacks focus,49.04,0,No
S1026,Joseph Zuniga,joseph.zuniga3743@gmail.com,p1026,12,41,63,92,70,66.5,0.88,0.46,11,1,13,2,0.34,2,29,Kinesthetic,Videos,4,8,83,Needs improvement in basics,65.59,1,Yes
S1027,Deborah Lynch,deborah.lynch1317@outlook.com,p1027,12,99,41,93,93,81.5,0.55,0.93,5,16,1,15,0.46,6,21,Reading/Writing,Mixed,13,8,98,Shows initiative,18.06,0,No
S1028,George Daniel,george.daniel1664@yahoo.com,p1028,11,60,61,98,49,67,0.84,0.42,12,6,18,11,0.59,3,87,Visual,Videos,1,0,89,Needs improvement in basics,72.39,1,Yes
S1029,Frank Gray,frank.gray4564@edu.in,p1029,9,72,56,46,83,64.25,0.44,0.78,4,8,11,16,0.49,5,59,Kinesthetic,Interactive,2,7,60,Average progress,54.11,0,No
S1030,Veronica Bowman,veronica.bowman5987@edu.in,p1030,10,51,75,56,60,60.5,0.97,0.67,13,1,6,4,0.3,2,83,Reading/Writing,Texts,2,1,49,Lacks focus,42.3,0,No
